Mark Sequence Malloc     Size       Addr Line File
   6    43734 new        6592 0x0156F128  224 \support\shape\shapebinfile.cpp
   6    43736 new         112 0x01270468  323 \support\shape\shapemanager.cpp
   6    43737 new       10304 0x01570B70  224 \support\shape\shapebinfile.cpp
   6    43739 new         112 0x01270560  323 \support\shape\shapemanager.cpp
   6    43740 new       21952 0x01573438  224 \support\shape\shapebinfile.cpp
   6    43742 new         112 0x01270658  323 \support\shape\shapemanager.cpp
   6    43743 new        5088 0x01578A80  224 \support\shape\shapebinfile.cpp
   6    43745 new         112 0x01270750  323 \support\shape\shapemanager.cpp
   6    43746 new        3872 0x0152DC20  224 \support\shape\shapebinfile.cpp
   6    43748 new         112 0x0152EBC8  323 \support\shape\shapemanager.cpp
   6    43749 new       24032 0x01579EE8  224 \support\shape\shapebinfile.cpp
   6    43751 new         112 0x0152ECC0  323 \support\shape\shapemanager.cpp
   6    43752 new        6592 0x0157FD50  224 \support\shape\shapebinfile.cpp
   6    43754 new         112 0x0152EDB8  323 \support\shape\shapemanager.cpp
   6    43755 new       11584 0x01581798  224 \support\shape\shapebinfile.cpp
   6    43757 new         112 0x0152EEB0  323 \support\shape\shapemanager.cpp
   6    43758 new       15616 0x01584560  224 \support\shape\shapebinfile.cpp
   6    43760 new         112 0x01270848  323 \support\shape\shapemanager.cpp
   6    43761 new        7872 0x015882E8  224 \support\shape\shapebinfile.cpp
   6    43763 new         112 0x01270940  323 \support\shape\shapemanager.cpp
   6    43764 new        3136 0x0158A230  224 \support\shape\shapebinfile.cpp
   6    43766 new         112 0x01270A38  323 \support\shape\shapemanager.cpp
   6    43767 new       42016 0x0158AEF8  224 \support\shape\shapebinfile.cpp
   6    43769 new         112 0x01270B30  323 \support\shape\shapemanager.cpp
   6    43770 new        1856 0x015953A0  224 \support\shape\shapebinfile.cpp
   6    43772 new         112 0x01270C28  323 \support\shape\shapemanager.cpp
   6    43773 new      177232 0x01595B68  224 \support\shape\shapebinfile.cpp
   6    43775 new         112 0x01270D20  323 \support\shape\shapemanager.cpp
   6    43776 new        3600 0x003AD040  224 \support\shape\shapebinfile.cpp
   6    43778 new         112 0x003ADED8  323 \support\shape\shapemanager.cpp
   6    43779 new      105552 0x015C1040  224 \support\shape\shapebinfile.cpp
   6    43781 new         112 0x01270E18  323 \support\shape\shapemanager.cpp
   6    43782 new        3024 0x003AF068  224 \support\shape\shapebinfile.cpp
   6    43784 new         112 0x01270F10  323 \support\shape\shapemanager.cpp
   6    43785 new      149568 0x015DAD18  224 \support\shape\shapebinfile.cpp
   6    43787 new         112 0x003AFCC0  323 \support\shape\shapemanager.cpp
   6    43788 new        4816 0x015FF5E0  224 \support\shape\shapebinfile.cpp
   6    43790 new         112 0x003AFDB8  323 \support\shape\shapemanager.cpp
   6    43791 new       58000 0x01600938  224 \support\shape\shapebinfile.cpp
   6    43793 new         112 0x003AFEB0  323 \support\shape\shapemanager.cpp
   6    43794 new        3344 0x01281050  224 \support\shape\shapebinfile.cpp
   6    43796 new         112 0x01281DE8  323 \support\shape\shapemanager.cpp
   6    43797 new       18832 0x0160EC50  224 \support\shape\shapebinfile.cpp
   6    43799 new         112 0x01281EE0  323 \support\shape\shapemanager.cpp
   6    43800 new       21856 0x01613668  224 \support\shape\shapebinfile.cpp
   6    43802 new         112 0x0128EF88  323 \support\shape\shapemanager.cpp
   6    43803 new       21584 0x01618C50  224 \support\shape\shapebinfile.cpp
   6    43805 new         112 0x0128F080  323 \support\shape\shapemanager.cpp
   6    43806 new       26304 0x0161E128  224 \support\shape\shapebinfile.cpp
   6    43808 new         112 0x0128F178  323 \support\shape\shapemanager.cpp
   6    43809 new        8832 0x01624870  224 \support\shape\shapebinfile.cpp
   6    43811 new         112 0x0128F270  323 \support\shape\shapemanager.cpp
   6    43812 new       10304 0x01626B78  224 \support\shape\shapebinfile.cpp
   6    43814 new         112 0x0128F368  323 \support\shape\shapemanager.cpp
   6    43815 new       16960 0x01629440  224 \support\shape\shapebinfile.cpp
   6    43817 new         112 0x0128F460  323 \support\shape\shapemanager.cpp
   6    43818 new       10992 0x0162D708  224 \support\shape\shapebinfile.cpp
   6    43820 new         112 0x0128F558  323 \support\shape\shapemanager.cpp
   6    43821 new       17360 0x01630280  224 \support\shape\shapebinfile.cpp
   6    43823 new         112 0x0128F650  323 \support\shape\shapemanager.cpp
   6    43824 new       12528 0x016346D8  224 \support\shape\shapebinfile.cpp
   6    43826 new         112 0x0128F748  323 \support\shape\shapemanager.cpp
   6    43827 new       17936 0x01637850  224 \support\shape\shapebinfile.cpp
   6    43829 new         112 0x0128F840  323 \support\shape\shapemanager.cpp
   6    43830 new       12672 0x0163BEE8  224 \support\shape\shapebinfile.cpp
   6    43832 new         112 0x0128F938  323 \support\shape\shapemanager.cpp
   6    43833 new        6912 0x0163F0F0  224 \support\shape\shapebinfile.cpp
   6    43835 new         112 0x0128FA30  323 \support\shape\shapemanager.cpp
   6    43836 new       11632 0x01640C78  224 \support\shape\shapebinfile.cpp
   6    43838 new         112 0x0128FB28  323 \support\shape\shapemanager.cpp
   6    43839 new       38704 0x01643A70  224 \support\shape\shapebinfile.cpp
   6    43841 new         112 0x0128FC20  323 \support\shape\shapemanager.cpp
   6    43842 new        2192 0x0164D228  224 \support\shape\shapebinfile.cpp
   6    43844 new         112 0x0128FD18  323 \support\shape\shapemanager.cpp
   6    43845 new        3472 0x0164DB40  224 \support\shape\shapebinfile.cpp
   6    43847 new         112 0x0128FE10  323 \support\shape\shapemanager.cpp
   6    43848 new       45392 0x0164E958  224 \support\shape\shapebinfile.cpp
   6    43850 new         112 0x0128FF08  323 \support\shape\shapemanager.cpp
   6    43851 new       53408 0x01659B30  224 \support\shape\shapebinfile.cpp
   6    43853 new         112 0x0132EE68  323 \support\shape\shapemanager.cpp
   6    43854 new        5776 0x01666C58  224 \support\shape\shapebinfile.cpp
   6    43856 new         112 0x0132EF60  323 \support\shape\shapemanager.cpp
   6    43857 new       40384 0x016693B8  224 \support\shape\shapebinfile.cpp
   6    43859 new         112 0x0132F058  323 \support\shape\shapemanager.cpp
   6    43860 new        5008 0x01673200  224 \support\shape\shapebinfile.cpp
